pr_id,number,title,agent,state,created_at,closed_at,first_human_feedback_at,num_commits,feedback_to_close_days
3128663211,1155,Refactor mod selection system to use object references instead of selectedIndex,Copilot,closed,2025-06-08 20:07:57+00:00,2025-06-08 21:08:21+00:00,2025-06-08 20:21:19+00:00,5.0,0.03266203703703704
2763678225,1827,Fix circular import in flow module,Devin,closed,2024-12-30 20:43:54+00:00,2024-12-31 04:27:58+00:00,2024-12-30 20:43:57+00:00,8.0,0.3222337962962963
2967129400,3576,Add TODO comment for error handling,Devin,closed,2025-04-02 17:50:13+00:00,2025-04-02 17:51:47+00:00,2025-04-02 17:50:19+00:00,6.0,0.0010185185185185184
3074242664,581,fix(core): Fix command injection vulnerability in git clone,Devin,closed,2025-05-19 15:26:57+00:00,2025-05-19 15:42:30+00:00,2025-05-19 15:26:58+00:00,3.0,0.010787037037037038
2923114353,1079,fix: Cannot delete user from auth table,Devin,closed,2025-03-16 14:53:39+00:00,2025-03-25 14:15:03+00:00,2025-03-16 14:53:45+00:00,1.0,8.973125
3116156914,2408,Upgrade wagmi to 2.15.4,OpenAI_Codex,closed,2025-06-04 03:02:16+00:00,2025-06-04 06:01:03+00:00,2025-06-04 03:02:22+00:00,1.0,0.12408564814814815
2838987433,365,feat: update flag format to use pointer emoji,Devin,closed,2025-02-07 19:58:33+00:00,2025-02-16 16:18:19+00:00,2025-02-07 19:58:34+00:00,3.0,8.847048611111111
3134125694,6229,Add glass theme example,OpenAI_Codex,closed,2025-06-10 15:56:28+00:00,2025-06-13 09:29:41+00:00,2025-06-10 15:56:33+00:00,2.0,2.7313425925925925
3153218899,5396,Add defaultVideoImageFormat and defaultPixelFormat to per-composition render settings,Copilot,closed,2025-06-17 11:53:13+00:00,2025-06-17 14:18:27+00:00,2025-06-17 11:53:16+00:00,4.0,0.10082175925925926
2941651609,56358,fix: remove destination-iceberg changes as requested,Devin,closed,2025-03-24 00:14:30+00:00,2025-03-24 00:22:32+00:00,2025-03-24 00:14:30+00:00,2.0,0.005578703703703704
3203260344,19,Add flexible text formatting support for column names with multiple naming conventions,Copilot,closed,2025-07-04 16:32:35+00:00,2025-07-04 16:36:06+00:00,2025-07-04 16:32:38+00:00,1.0,0.0024074074074074076
3218738651,255102,"Rename ""Rerun All Running Tasks"" to ""Restart All Running Tasks"" for consistency",Copilot,closed,2025-07-10 10:17:16+00:00,2025-07-15 11:52:55+00:00,2025-07-10 10:28:41+00:00,2.0,5.058495370370371
3079520197,4428,Fix dependency dirty flag logic,OpenAI_Codex,closed,2025-05-21 09:13:29+00:00,2025-06-09 11:46:47+00:00,2025-05-21 09:14:09+00:00,2.0,19.10599537037037
3139661974,8463,Add missing registerInlineCompletionItemProvider API to Programmatic Language Features documentation,Copilot,closed,2025-06-12 10:10:20+00:00,2025-06-12 11:29:51+00:00,2025-06-12 10:29:11+00:00,3.0,0.04212962962962963
3147844988,12205,[WIP] Clear clipboard instead of doing nothing when no value is present to copy,Copilot,closed,2025-06-15 17:21:57+00:00,2025-06-19 14:01:24+00:00,2025-06-19 13:58:15+00:00,1.0,0.0021875
3222603070,255356,Verify removal of unwanted sdfsd/test.ipynb file,Copilot,closed,2025-07-11 11:41:36+00:00,2025-07-11 12:47:09+00:00,2025-07-11 11:50:02+00:00,2.0,0.03966435185185185
3070049529,3683,Fix task history copy button to preserve tags,OpenAI_Codex,closed,2025-05-16 23:29:02+00:00,2025-05-26 21:14:25+00:00,2025-05-16 23:29:03+00:00,1.0,9.90650462962963
3219610150,1183,Add Rust program for computing first 10 Fibonacci numbers recursively,Copilot,closed,2025-07-10 14:34:31+00:00,2025-07-14 13:19:45+00:00,2025-07-10 14:39:54+00:00,2.0,3.9443402777777776
3078514459,9464,Add tests for diff view hooks,OpenAI_Codex,closed,2025-05-21 00:24:07+00:00,2025-05-21 14:25:56+00:00,2025-05-21 00:24:11+00:00,1.0,0.5845486111111111
